date,party,projected_vote_high,projected_vote_low,projected_vote_mean,election_day
2020-10-15,democratic,0.57,0.517,0.544,FALSE
2020-10-15,republican,0.483,0.43,0.456,FALSE
2020-10-16,democratic,0.571,0.518,0.544,FALSE
2020-10-16,republican,0.482,0.429,0.456,FALSE
2020-10-17,democratic,0.571,0.516,0.544,FALSE
2020-10-17,republican,0.484,0.429,0.456,FALSE
2020-10-18,democratic,0.573,0.512,0.544,FALSE
2020-10-18,republican,0.488,0.427,0.456,FALSE
2020-10-19,democratic,0.571,0.513,0.543,FALSE
2020-10-19,republican,0.487,0.429,0.457,FALSE
2020-10-20,democratic,0.571,0.512,0.543,FALSE
2020-10-20,republican,0.488,0.429,0.457,FALSE
2020-10-21,democratic,0.57,0.511,0.543,FALSE
2020-10-21,republican,0.489,0.43,0.457,FALSE
2020-10-22,democratic,0.569,0.512,0.542,FALSE
2020-10-22,republican,0.488,0.431,0.458,FALSE
2020-10-23,democratic,0.571,0.511,0.542,FALSE
2020-10-23,republican,0.489,0.429,0.458,FALSE
2020-10-24,democratic,0.573,0.51,0.542,FALSE
2020-10-24,republican,0.49,0.427,0.458,FALSE
2020-10-25,democratic,0.571,0.51,0.542,FALSE
2020-10-25,republican,0.49,0.429,0.458,FALSE
2020-10-26,democratic,0.572,0.511,0.542,FALSE
2020-10-26,republican,0.489,0.428,0.458,FALSE
2020-10-27,democratic,0.572,0.509,0.542,FALSE
2020-10-27,republican,0.491,0.428,0.458,FALSE
2020-10-28,democratic,0.571,0.513,0.542,FALSE
2020-10-28,republican,0.487,0.429,0.458,FALSE
2020-10-29,democratic,0.571,0.511,0.541,FALSE
2020-10-29,republican,0.489,0.429,0.459,FALSE
2020-10-30,democratic,0.571,0.511,0.541,FALSE
2020-10-30,republican,0.489,0.429,0.459,FALSE
2020-10-31,democratic,0.573,0.509,0.541,FALSE
2020-10-31,republican,0.491,0.427,0.459,FALSE
2020-11-01,democratic,0.572,0.512,0.541,FALSE
2020-11-01,republican,0.488,0.428,0.459,FALSE
2020-11-02,democratic,0.574,0.511,0.541,FALSE
2020-11-02,republican,0.489,0.426,0.459,FALSE
2020-11-03,democratic,0.572,0.51,0.541,TRUE
2020-11-03,republican,0.49,0.428,0.459,TRUE
