date,party,projected_vote_high,projected_vote_low,projected_vote_mean,election_day
2020-10-26,democratic,0.572,0.514,0.544,FALSE
2020-10-26,republican,0.486,0.428,0.456,FALSE
2020-10-27,democratic,0.571,0.513,0.544,FALSE
2020-10-27,republican,0.487,0.429,0.456,FALSE
2020-10-28,democratic,0.573,0.514,0.544,FALSE
2020-10-28,republican,0.486,0.427,0.456,FALSE
2020-10-29,democratic,0.571,0.516,0.544,FALSE
2020-10-29,republican,0.484,0.429,0.456,FALSE
2020-10-30,democratic,0.572,0.514,0.543,FALSE
2020-10-30,republican,0.486,0.428,0.457,FALSE
2020-10-31,democratic,0.572,0.515,0.543,FALSE
2020-10-31,republican,0.485,0.428,0.457,FALSE
2020-11-01,democratic,0.57,0.515,0.543,FALSE
2020-11-01,republican,0.485,0.43,0.457,FALSE
2020-11-02,democratic,0.572,0.513,0.543,FALSE
2020-11-02,republican,0.487,0.428,0.457,FALSE
2020-11-03,democratic,0.574,0.513,0.543,TRUE
2020-11-03,republican,0.487,0.426,0.457,TRUE
